chr -	Core	Core	17	36	47,85,151
chr -	OBJ	OBJ	36	73	244,177,131
chr -	CRE	CRE	1	17	192,0,0
band	OBJ	7Networks_LH_Cont_pCun_1	7Networks_LH_Cont_pCun_1	59	60	255,37,0	 
band	OBJ	7Networks_RH_Cont_Par_1	7Networks_RH_Cont_Par_1	60	61	255,37,0	 
band	OBJ	7Networks_RH_Cont_PFCl_1	7Networks_RH_Cont_PFCl_1	61	62	255,37,0	 
band	OBJ	7Networks_RH_Cont_PFCl_3	7Networks_RH_Cont_PFCl_3	62	63	255,37,0	 
band	OBJ	7Networks_RH_Cont_PFCmp_1	7Networks_RH_Cont_PFCmp_1	63	64	255,37,0	 
band	OBJ	7Networks_RH_Cont_pCun_1	7Networks_RH_Cont_pCun_1	64	65	255,37,0	 
band	OBJ	7Networks_LH_Default_Par_2	7Networks_LH_Default_Par_2	65	66	101,0,0	 
band	OBJ	7Networks_LH_Default_PFC_3	7Networks_LH_Default_PFC_3	66	67	101,0,0	 
band	OBJ	7Networks_LH_Default_PFC_6	7Networks_LH_Default_PFC_6	67	68	101,0,0	 
band	OBJ	7Networks_LH_Default_PFC_7	7Networks_LH_Default_PFC_7	68	69	101,0,0	 
band	OBJ	7Networks_LH_Default_pCunPCC_1	7Networks_LH_Default_pCunPCC_1	69	70	101,0,0	 
band	OBJ	7Networks_RH_Default_PFCdPFCm_1	7Networks_RH_Default_PFCdPFCm_1	70	71	101,0,0	 
band	OBJ	7Networks_RH_Default_PFCdPFCm_3	7Networks_RH_Default_PFCdPFCm_3	71	72	101,0,0	 
band	OBJ	7Networks_RH_Default_pCunPCC_1	7Networks_RH_Default_pCunPCC_1	72	73	101,0,0	 
